referent_uuid,name_first,name_last,tribes,age,origins,occupations,enslavement_status,relationships
00080df07511480799b0a945fec265ab,,,,"[477] Mr. <em>George Menisye</em> Esqr this day presented in the court an indian boy of the county of <em>Tappahannak</em> christened and for the time of ten years brought up amongst the <em>english</em> by Captain <em>William Perry </em>deceased and Mr<em> George Menisye</em>: the indian was [478] examined and found to have been well instructed in the principles of religion, taught to read, instructed to writing: and <em>whereas</em> there hath formerly been given by will, a stock of three hundred pounds <em>sterling</em> by<em> Nicholas ffarrar</em> late of <em>London</em>, merchant, deceased, by the indians, whereof 24 pounds <em>sterling</em> was yearly to be paid to any persons that should bring up three of the indian children, the said Mr <em>Menisye</em> for his better supportation in the education of the said indian boy desires certificate from the court of the bringing him up and instructing him in christian religion as is said : the governor and council approving and commending the care that hath been used towards this youth, <em>have condescended</em> to the request of the said Mr <em>Menisye</em> and have thought good to recommend hereby his suit for the allowance of 8 pounds per <em>annum</em> part of the said 24 pounds towards the maintenance of the said youth and to that purpose in testimony of the promises have thought good to cause the seal of the colony to be hereunto affixed. Given at <em>James city</em> the tenth day of<em> June anno domini </em>1640.",,,"[477] Mr. <em>George Menisye</em> Esqr this day presented in the court an indian boy of the county of <em>Tappahannak</em> christened and for the time of ten years brought up amongst the <em>english</em> by Captain <em>William Perry </em>deceased and Mr<em> George Menisye</em>: the indian was [478] examined and found to have been well instructed in the principles of religion, taught to read, instructed to writing: and <em>whereas</em> there hath formerly been given by will, a stock of three hundred pounds <em>sterling</em> by<em> Nicholas ffarrar</em> late of <em>London</em>, merchant, deceased, by the indians, whereof 24 pounds <em>sterling</em> was yearly to be paid to any persons that should bring up three of the indian children, the said Mr <em>Menisye</em> for his better supportation in the education of the said indian boy desires certificate from the court of the bringing him up and instructing him in christian religion as is said : the governor and council approving and commending the care that hath been used towards this youth, <em>have condescended</em> to the request of the said Mr <em>Menisye</em> and have thought good to recommend hereby his suit for the allowance of 8 pounds per <em>annum</em> part of the said 24 pounds towards the maintenance of the said youth and to that purpose in testimony of the promises have thought good to cause the seal of the colony to be hereunto affixed. Given at <em>James city</em> the tenth day of<em> June anno domini </em>1640.",
000a6c4e90c140e0b5c84dcdbd47e8f7,,,,"RUn away the 3d Instant from <em>Judith Vincent</em> in Monmouth County, in New-Jersey, an Indian Man, named Stoffels, speaks good English, about Forty years of age, he is a House Carpenter, a Cooper; a Wheelwright, and is a good Butcher also. There is also two others gone along with him, one being half Indian and half Negro, the other a Mulatto about 30 years old, &amp; plays upon the violin, and has it with him. Whoever takes up &amp; secures said Fellow so that he may be had again shall have Forty Shillings as a Reward and all reasonable Charges paid by the said Judith Vincent.",,"RUn away the 3d Instant from <em>Judith Vincent</em> in Monmouth County, in New-Jersey, an Indian Man, named Stoffels, speaks good English, about Forty years of age, he is a House Carpenter, a Cooper; a Wheelwright, and is a good Butcher also. There is also two others gone along with him, one being half Indian and half Negro, the other a Mulatto about 30 years old, &amp; plays upon the violin, and has it with him. Whoever takes up &amp; secures said Fellow so that he may be had again shall have Forty Shillings as a Reward and all reasonable Charges paid by the said Judith Vincent.","RUn away the 3d Instant from <em>Judith Vincent</em> in Monmouth County, in New-Jersey, an Indian Man, named Stoffels, speaks good English, about Forty years of age, he is a House Carpenter, a Cooper; a Wheelwright, and is a good Butcher also. There is also two others gone along with him, one being half Indian and half Negro, the other a Mulatto about 30 years old, &amp; plays upon the violin, and has it with him. Whoever takes up &amp; secures said Fellow so that he may be had again shall have Forty Shillings as a Reward and all reasonable Charges paid by the said Judith Vincent.","RUn away the 3d Instant from <em>Judith Vincent</em> in Monmouth County, in New-Jersey, an Indian Man, named Stoffels, speaks good English, about Forty years of age, he is a House Carpenter, a Cooper; a Wheelwright, and is a good Butcher also. There is also two others gone along with him, one being half Indian and half Negro, the other a Mulatto about 30 years old, &amp; plays upon the violin, and has it with him. Whoever takes up &amp; secures said Fellow so that he may be had again shall have Forty Shillings as a Reward and all reasonable Charges paid by the said Judith Vincent."
001beb8c72174bcea9c5e8bcd57e3b9a,"13    En.  30- Juan de Morales, de partida para Guatemala, para llevar dos indios arrieros llamados Francisco de C&aacute;rdenas (del pueblo de Barba y encomienda de don Jos&eacute; de Alvarado) y Juan (del puebo de Ujarraz de la encomienda de don Juan de Salazar) da por fiador &aacute; don Jos&eacute; de Moya.","13    En.  30- Juan de Morales, de partida para Guatemala, para llevar dos indios arrieros llamados Francisco de C&aacute;rdenas (del pueblo de Barba y encomienda de don Jos&eacute; de Alvarado) y Juan (del puebo de Ujarraz de la encomienda de don Juan de Salazar) da por fiador &aacute; don Jos&eacute; de Moya.",,,,,"13    En.  30- Juan de Morales, de partida para Guatemala, para llevar dos indios arrieros llamados Francisco de C&aacute;rdenas (del pueblo de Barba y encomienda de don Jos&eacute; de Alvarado) y Juan (del puebo de Ujarraz de la encomienda de don Juan de Salazar) da por fiador &aacute; don Jos&eacute; de Moya.",
002187d8abf74805973edbf1f56b09d1,"[75-76] 30    Ag.  11- Esteban Rodr&iacute;guez f&iacute;a &aacute; Manuel Mart&iacute;nez para que pueda llevar con su recua &aacute; Nicaragua, &aacute; los indios Diego, del pueblo de Guicase (encomienda de Juan Solano) Gabriel, del pueblo Corroci (encomienda de don Jos&eacute; de Sandoval Ocampo) Francisco, de Orosi (vacante de don Diego de Sojo) Luis, de Quirc&oacute; (encomienda de Francisco de Chaves) y Lucas, de C&oacute;, (encomienda de Catalina Palacios).","[75-76] 30    Ag.  11- Esteban Rodr&iacute;guez f&iacute;a &aacute; Manuel Mart&iacute;nez para que pueda llevar con su recua &aacute; Nicaragua, &aacute; los indios Diego, del pueblo de Guicase (encomienda de Juan Solano) Gabriel, del pueblo Corroci (encomienda de don Jos&eacute; de Sandoval Ocampo) Francisco, de Orosi (vacante de don Diego de Sojo) Luis, de Quirc&oacute; (encomienda de Francisco de Chaves) y Lucas, de C&oacute;, (encomienda de Catalina Palacios).",,,,,"[75-76] 30    Ag.  11- Esteban Rodr&iacute;guez f&iacute;a &aacute; Manuel Mart&iacute;nez para que pueda llevar con su recua &aacute; Nicaragua, &aacute; los indios Diego, del pueblo de Guicase (encomienda de Juan Solano) Gabriel, del pueblo Corroci (encomienda de don Jos&eacute; de Sandoval Ocampo) Francisco, de Orosi (vacante de don Diego de Sojo) Luis, de Quirc&oacute; (encomienda de Francisco de Chaves) y Lucas, de C&oacute;, (encomienda de Catalina Palacios).","[75-76] 30    Ag.  11- Esteban Rodr&iacute;guez f&iacute;a &aacute; Manuel Mart&iacute;nez para que pueda llevar con su recua &aacute; Nicaragua, &aacute; los indios Diego, del pueblo de Guicase (encomienda de Juan Solano) Gabriel, del pueblo Corroci (encomienda de don Jos&eacute; de Sandoval Ocampo) Francisco, de Orosi (vacante de don Diego de Sojo) Luis, de Quirc&oacute; (encomienda de Francisco de Chaves) y Lucas, de C&oacute;, (encomienda de Catalina Palacios)."
002b55a73ae84e7db48ca67fb1faee7b,"The attestation of Thomas SHAW, master of the vessel <em>Bermudians&rsquo; Adventure</em>, being sworn, saith that in his last voyage home to Sommer Islands in his aforesaid vessel, coming through the gulf the 1 August last past, two Spanish vessels chased his aforesaid vessel and after one of them overtook them, he, the said SHAW, was commanded aboard&mdash;&mdash;Spanish commander, finding two Indian men (which Mr. Anthony PENISTON had bought of Thomas STEDMAN of Jamaica) aboard the <em>Bermudians&rsquo; Adventure</em>, the Spanish commander said&mdash;these Indians were the King of Spain&rsquo;s subjects, and withal took them from&mdash;&mdash;the aforesaid vessel and carried them away with him. And further saith not.  Thomas SHAW. Henry TUCKER, Secretary.",,,"The attestation of Thomas SHAW, master of the vessel <em>Bermudians&rsquo; Adventure</em>, being sworn, saith that in his last voyage home to Sommer Islands in his aforesaid vessel, coming through the gulf the 1 August last past, two Spanish vessels chased his aforesaid vessel and after one of them overtook them, he, the said SHAW, was commanded aboard&mdash;&mdash;Spanish commander, finding two Indian men (which Mr. Anthony PENISTON had bought of Thomas STEDMAN of Jamaica) aboard the <em>Bermudians&rsquo; Adventure</em>, the Spanish commander said&mdash;these Indians were the King of Spain&rsquo;s subjects, and withal took them from&mdash;&mdash;the aforesaid vessel and carried them away with him. And further saith not.  Thomas SHAW. Henry TUCKER, Secretary.",,,"The attestation of Thomas SHAW, master of the vessel <em>Bermudians&rsquo; Adventure</em>, being sworn, saith that in his last voyage home to Sommer Islands in his aforesaid vessel, coming through the gulf the 1 August last past, two Spanish vessels chased his aforesaid vessel and after one of them overtook them, he, the said SHAW, was commanded aboard&mdash;&mdash;Spanish commander, finding two Indian men (which Mr. Anthony PENISTON had bought of Thomas STEDMAN of Jamaica) aboard the <em>Bermudians&rsquo; Adventure</em>, the Spanish commander said&mdash;these Indians were the King of Spain&rsquo;s subjects, and withal took them from&mdash;&mdash;the aforesaid vessel and carried them away with him. And further saith not.  Thomas SHAW. Henry TUCKER, Secretary.","The attestation of Thomas SHAW, master of the vessel <em>Bermudians&rsquo; Adventure</em>, being sworn, saith that in his last voyage home to Sommer Islands in his aforesaid vessel, coming through the gulf the 1 August last past, two Spanish vessels chased his aforesaid vessel and after one of them overtook them, he, the said SHAW, was commanded aboard&mdash;&mdash;Spanish commander, finding two Indian men (which Mr. Anthony PENISTON had bought of Thomas STEDMAN of Jamaica) aboard the <em>Bermudians&rsquo; Adventure</em>, the Spanish commander said&mdash;these Indians were the King of Spain&rsquo;s subjects, and withal took them from&mdash;&mdash;the aforesaid vessel and carried them away with him. And further saith not.  Thomas SHAW. Henry TUCKER, Secretary."
00308f725bff40bc86ba8f8f067bb4d1,Return of Indians continued,,,Return of Indians continued,,,Return of Indians continued,Return of Indians continued
0032dc95f2e94ec787f795b6d422a057,,,,,,,"[335] 21st ditto. The Council of War resolved to send Lieutenant Couwenhoven down again with the sloop.  I victualled the yacht and gave him five soldiers additional for his defense; also resolved to give him the two Indians and the squaw which we had prisoners, but he is not to leave them out of his hands before we have our prisoners back.  Furnished him also with an instruction as to how he should act therein.  It reads, word for word as follows: -","[335] 21st ditto. The Council of War resolved to send Lieutenant Couwenhoven down again with the sloop.  I victualled the yacht and gave him five soldiers additional for his defense; also resolved to give him the two Indians and the squaw which we had prisoners, but he is not to leave them out of his hands before we have our prisoners back.  Furnished him also with an instruction as to how he should act therein.  It reads, word for word as follows: -"
003acf11b1fb4130bb432b16e39c63b7,[154] .... [ <strong>0235 </strong>] We whose names are here vnder written being chosen by ye Town to set ye disposal of ye Jndians now in Town We agree yt Roger. Williams : Nath : Waterman Tho : Fenner Henry Eston : John Moorey : Daniel Abbot James Olney : Val : Whitman: John Whiple senr : Ephrajm Pray John Pray : John Angel James Angel Thomas Arnold : Abraham Man : Thomas Field Ed : Bennet Tho : Clements Wm Lancaster Wm Hopkins Wm Hawkins Wm Harris | Zachary Field | Sam : Winsor &amp; Cap : Fenner shall haue equal whole Shares of ye product yt is what is made of | all | ye Companies of Jndians in Towne this morning when ye Order was made at ye Towne meeting.  Jt : we agree yt Joseph Woodward &amp; Rich : Pray shall haue 3 parts yt js 3 quarters of a whole share and | John Smith miller | Ed Smith Samuel Whiffill and Nelle Whifle &amp; Tho : Wallin shall haue half shares togeather with ye former of what js made of th[  ]  Jt : that the Jnhabitants yt desire any of them shall allow for such Jndians whom they take after the rate for wch they are sold at Rode Jland or elswhere.,[154] .... [ <strong>0235 </strong>] We whose names are here vnder written being chosen by ye Town to set ye disposal of ye Jndians now in Town We agree yt Roger. Williams : Nath : Waterman Tho : Fenner Henry Eston : John Moorey : Daniel Abbot James Olney : Val : Whitman: John Whiple senr : Ephrajm Pray John Pray : John Angel James Angel Thomas Arnold : Abraham Man : Thomas Field Ed : Bennet Tho : Clements Wm Lancaster Wm Hopkins Wm Hawkins Wm Harris | Zachary Field | Sam : Winsor &amp; Cap : Fenner shall haue equal whole Shares of ye product yt is what is made of | all | ye Companies of Jndians in Towne this morning when ye Order was made at ye Towne meeting.  Jt : we agree yt Joseph Woodward &amp; Rich : Pray shall haue 3 parts yt js 3 quarters of a whole share and | John Smith miller | Ed Smith Samuel Whiffill and Nelle Whifle &amp; Tho : Wallin shall haue half shares togeather with ye former of what js made of th[  ]  Jt : that the Jnhabitants yt desire any of them shall allow for such Jndians whom they take after the rate for wch they are sold at Rode Jland or elswhere.,,,,[154] .... [ <strong>0235 </strong>] We whose names are here vnder written being chosen by ye Town to set ye disposal of ye Jndians now in Town We agree yt Roger. Williams : Nath : Waterman Tho : Fenner Henry Eston : John Moorey : Daniel Abbot James Olney : Val : Whitman: John Whiple senr : Ephrajm Pray John Pray : John Angel James Angel Thomas Arnold : Abraham Man : Thomas Field Ed : Bennet Tho : Clements Wm Lancaster Wm Hopkins Wm Hawkins Wm Harris | Zachary Field | Sam : Winsor &amp; Cap : Fenner shall haue equal whole Shares of ye product yt is what is made of | all | ye Companies of Jndians in Towne this morning when ye Order was made at ye Towne meeting.  Jt : we agree yt Joseph Woodward &amp; Rich : Pray shall haue 3 parts yt js 3 quarters of a whole share and | John Smith miller | Ed Smith Samuel Whiffill and Nelle Whifle &amp; Tho : Wallin shall haue half shares togeather with ye former of what js made of th[  ]  Jt : that the Jnhabitants yt desire any of them shall allow for such Jndians whom they take after the rate for wch they are sold at Rode Jland or elswhere.,[154] .... [ <strong>0235 </strong>] We whose names are here vnder written being chosen by ye Town to set ye disposal of ye Jndians now in Town We agree yt Roger. Williams : Nath : Waterman Tho : Fenner Henry Eston : John Moorey : Daniel Abbot James Olney : Val : Whitman: John Whiple senr : Ephrajm Pray John Pray : John Angel James Angel Thomas Arnold : Abraham Man : Thomas Field Ed : Bennet Tho : Clements Wm Lancaster Wm Hopkins Wm Hawkins Wm Harris | Zachary Field | Sam : Winsor &amp; Cap : Fenner shall haue equal whole Shares of ye product yt is what is made of | all | ye Companies of Jndians in Towne this morning when ye Order was made at ye Towne meeting.  Jt : we agree yt Joseph Woodward &amp; Rich : Pray shall haue 3 parts yt js 3 quarters of a whole share and | John Smith miller | Ed Smith Samuel Whiffill and Nelle Whifle &amp; Tho : Wallin shall haue half shares togeather with ye former of what js made of th[  ]  Jt : that the Jnhabitants yt desire any of them shall allow for such Jndians whom they take after the rate for wch they are sold at Rode Jland or elswhere.,[154] .... [ <strong>0235 </strong>] We whose names are here vnder written being chosen by ye Town to set ye disposal of ye Jndians now in Town We agree yt Roger. Williams : Nath : Waterman Tho : Fenner Henry Eston : John Moorey : Daniel Abbot James Olney : Val : Whitman: John Whiple senr : Ephrajm Pray John Pray : John Angel James Angel Thomas Arnold : Abraham Man : Thomas Field Ed : Bennet Tho : Clements Wm Lancaster Wm Hopkins Wm Hawkins Wm Harris | Zachary Field | Sam : Winsor &amp; Cap : Fenner shall haue equal whole Shares of ye product yt is what is made of | all | ye Companies of Jndians in Towne this morning when ye Order was made at ye Towne meeting.  Jt : we agree yt Joseph Woodward &amp; Rich : Pray shall haue 3 parts yt js 3 quarters of a whole share and | John Smith miller | Ed Smith Samuel Whiffill and Nelle Whifle &amp; Tho : Wallin shall haue half shares togeather with ye former of what js made of th[  ]  Jt : that the Jnhabitants yt desire any of them shall allow for such Jndians whom they take after the rate for wch they are sold at Rode Jland or elswhere.
003ba3fd7f604ba08b6e9a8f95e51ee9,Return of Indians continued,,Return of Indians continued,,,,Return of Indians continued,Return of Indians continued
003bb009a6ae4549aaf5f58be87072a1,"[65] July, 1681. Att this Court it was ordered that Isacke, Indian majestrate att Saconett and places adjacent, doe send or cause to be sent an Indian youth named Samuell, the son of Wanwaneame, a prentece to the widdow of John Tucker, of late of Martins Viniyard, vnto Steuen Skiffe, of Sandwich, to be sent by him to said widdow; or that the said Isacke doe pay or giue sufficient cecuritie to pay the said widdow, or said Skiffe in her behalfe, the full sume of eight pounds in mony, four pounds the last of October next, and other four pound the first of March next, which is according to his owne proposall.",,"[65] July, 1681. Att this Court it was ordered that Isacke, Indian majestrate att Saconett and places adjacent, doe send or cause to be sent an Indian youth named Samuell, the son of Wanwaneame, a prentece to the widdow of John Tucker, of late of Martins Viniyard, vnto Steuen Skiffe, of Sandwich, to be sent by him to said widdow; or that the said Isacke doe pay or giue sufficient cecuritie to pay the said widdow, or said Skiffe in her behalfe, the full sume of eight pounds in mony, four pounds the last of October next, and other four pound the first of March next, which is according to his owne proposall.","[65] July, 1681. Att this Court it was ordered that Isacke, Indian majestrate att Saconett and places adjacent, doe send or cause to be sent an Indian youth named Samuell, the son of Wanwaneame, a prentece to the widdow of John Tucker, of late of Martins Viniyard, vnto Steuen Skiffe, of Sandwich, to be sent by him to said widdow; or that the said Isacke doe pay or giue sufficient cecuritie to pay the said widdow, or said Skiffe in her behalfe, the full sume of eight pounds in mony, four pounds the last of October next, and other four pound the first of March next, which is according to his owne proposall.",,,"[65] July, 1681. Att this Court it was ordered that Isacke, Indian majestrate att Saconett and places adjacent, doe send or cause to be sent an Indian youth named Samuell, the son of Wanwaneame, a prentece to the widdow of John Tucker, of late of Martins Viniyard, vnto Steuen Skiffe, of Sandwich, to be sent by him to said widdow; or that the said Isacke doe pay or giue sufficient cecuritie to pay the said widdow, or said Skiffe in her behalfe, the full sume of eight pounds in mony, four pounds the last of October next, and other four pound the first of March next, which is according to his owne proposall.","[65] July, 1681. Att this Court it was ordered that Isacke, Indian majestrate att Saconett and places adjacent, doe send or cause to be sent an Indian youth named Samuell, the son of Wanwaneame, a prentece to the widdow of John Tucker, of late of Martins Viniyard, vnto Steuen Skiffe, of Sandwich, to be sent by him to said widdow; or that the said Isacke doe pay or giue sufficient cecuritie to pay the said widdow, or said Skiffe in her behalfe, the full sume of eight pounds in mony, four pounds the last of October next, and other four pound the first of March next, which is according to his owne proposall."
