referent_uuid,name_first,name_last,tribes,sex,age,age_category,origins,occupations,races,enslavement_status,relationships
00080df07511480799b0a945fec265ab,0,0,0,1,1,1,0,0,1,1,0
000a6c4e90c140e0b5c84dcdbd47e8f7,0,0,0,1,1,1,0,1,1,1,1
001beb8c72174bcea9c5e8bcd57e3b9a,1,1,0,1,0,0,0,0,0,1,0
002187d8abf74805973edbf1f56b09d1,1,1,0,1,0,0,0,0,0,1,1
002b55a73ae84e7db48ca67fb1faee7b,1,0,0,1,-1,1,0,0,1,1,1
00308f725bff40bc86ba8f8f067bb4d1,1,0,0,1,1,1,0,0,1,1,-1
0032dc95f2e94ec787f795b6d422a057,0,0,0,1,0,0,0,0,1,1,1
003acf11b1fb4130bb432b16e39c63b7,1,1,0,1,0,0,0,1,1,1,1
003ba3fd7f604ba08b6e9a8f95e51ee9,1,0,1,1,0,0,0,0,1,1,-1
003bb009a6ae4549aaf5f58be87072a1,1,0,1,1,1,1,0,0,1,1,1
003de87a4692473ab929908f2cee658e,1,0,0,1,0,0,1,0,1,1,-1
0043be8e187149fe9bad2324351aa6eb,1,1,0,1,0,0,0,0,-1,1,1
0047d59ea710407fa9625b5b87b68ac9,-1,1,0,1,0,0,0,1,1,1,1
005e8573bea94a6fa22b88b073526c5b,1,1,0,1,0,0,0,0,1,1,1
006e3d73b2744d3b82e07d26ac677f5c,1,1,0,1,0,0,1,0,-1,1,1
0077a14a1c5e431ebbebb34c9522bdc1,1,1,0,1,0,0,0,-1,-1,-1,-1
0080f4ab5252416187f34f25e06f6bb8,1,1,0,1,1,1,0,0,1,1,1
008f56b7a6a640d4bbbe972c93d75ba8,1,0,0,-1,0,0,0,0,-1,1,1
009891554d0a4d8c9eb52f8d70347854,1,1,0,1,0,0,0,1,-1,0,0
